Project_ID,State,District,Project_Type,Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Sanction_Date,3A_Notification_Date,3D_Notification_Date,Award_Date,Payment_Date,Possession_Date,Compensation_Amount_Crore,RR_Amount_Crore,Compensation_Status,R&R_Progress_Percent,Legal_Disputes_Count,Possession_Status,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Data_Basis
BHNV-00028,Rajasthan,Jaipur,Urban Development,38.05,34.32,68,13,2019-11-13,2020-04-04,2023-11-05,2021-04-22,2022-11-07,2024-01-31,109.53,7.49,Mostly paid,100.0,3,Substantially complete,446,41,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00029,West Bengal,Bardhaman,Irrigation,42.31,29.01,75,16,2020-06-22,2021-05-23,2024-03-14,2022-02-13,2022-11-05,2023-05-27,148.02,8.94,Partially paid,86.3,3,Partial possession,0,13,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00030,Madhya Pradesh,Indore,Urban Development,108.47,84.98,201,34,2022-10-17,2023-03-27,2026-01-28,2024-09-03,2026-04-05,2027-08-12,316.05,15.2,Partially paid,99.6,5,Partial possession,786,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00031,Karnataka,Bengaluru Urban,Irrigation,13.43,9.26,25,1,2019-01-30,2020-02-11,2022-07-27,2025-06-01,2026-05-27,2027-06-28,14.18,2.86,Partially paid,100.0,0,Partial possession,1993,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00032,Rajasthan,Ajmer,Urban Development,117.47,47.51,224,42,2018-04-20,2018-11-15,2020-04-08,2024-09-11,2026-01-10,2026-12-12,495.72,6.7,Pending,100.0,6,Pending,2049,69,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00033,Gujarat,Surat,Industrial Corridor,17.83,12.25,32,5,2019-11-02,2021-01-19,2023-10-11,2023-07-22,2025-02-16,2026-05-19,14.63,2.88,Partially paid,100.0,1,Partial possession,1458,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00034,Rajasthan,Alwar,Railway,260.87,194.32,418,75,2020-05-25,2022-02-03,2020-10-08,2024-03-27,2024-08-10,2025-12-27,1062.97,25.1,Partially paid,93.2,7,Partial possession,1241,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00035,West Bengal,Bardhaman,Irrigation,54.53,32.65,95,18,2025-05-02,2027-06-02,2028-03-30,2026-02-04,2027-01-10,2027-06-06,198.19,9.03,Pending,82.5,3,Pending,0,19,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00036,Gujarat,Vadodara,National Highway,11.94,6.65,31,10,2024-05-29,2026-04-12,2026-12-29,2029-05-23,2030-11-16,2032-10-14,13.82,3.31,Partially paid,99.6,0,Pending,1986,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00037,Karnataka,Mysuru,Railway,3.95,3.45,9,2,2018-06-16,2019-08-04,2021-11-16,2023-04-07,2023-08-20,2024-11-02,6.62,0.23,Mostly paid,88.0,0,Partial possession,1754,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00038,West Bengal,Howrah,National Highway,67.28,38.36,139,25,2024-01-10,2025-07-04,2026-06-24,2025-08-09,2026-01-09,2026-09-30,140.69,15.78,Pending,100.0,5,Pending,465,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00039,Maharashtra,Thane,Railway,20.61,11.14,47,7,2023-09-26,2023-12-07,2024-10-15,2024-09-24,2025-01-03,2025-03-19,85.9,1.26,Pending,100.0,2,Pending,0,17,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00040,Madhya Pradesh,Ujjain,Railway,25.65,22.25,40,6,2017-05-06,2018-09-27,2021-01-28,2022-03-04,2022-07-26,2024-02-22,113.52,3.81,Partially paid,86.9,1,Partial possession,1869,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00041,Karnataka,Mysuru,Urban Development,64.47,46.82,114,13,2024-07-28,2024-12-22,2027-04-10,2027-03-03,2027-11-24,2029-02-02,72.37,3.07,Partially paid,100.0,2,Partial possession,819,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00042,Maharashtra,Nagpur,Irrigation,82.3,61.01,174,33,2023-10-31,2025-06-22,2024-09-14,2029-02-01,2030-02-10,2031-06-15,186.71,18.47,Partially paid,97.8,4,Partial possession,1780,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00043,Tamil Nadu,Coimbatore,Irrigation,101.87,90.47,181,35,2020-03-12,2020-06-10,2023-04-16,2025-10-17,2027-01-04,2027-08-29,137.76,7.33,Mostly paid,100.0,4,Partial possession,2073,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00044,Karnataka,Mysuru,Railway,9.25,6.88,16,4,2022-09-05,2024-04-09,2023-07-17,2023-08-25,2023-10-25,2025-01-19,16.93,1.01,Mostly paid,83.2,1,Partial possession,0,9,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00045,Tamil Nadu,Coimbatore,Industrial Corridor,124.7,106.82,238,42,2021-05-31,2023-08-24,2023-07-20,2025-02-05,2026-07-05,2028-06-02,552.42,26.96,Mostly paid,100.0,8,Partial possession,1691,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00046,Gujarat,Surat,Industrial Corridor,16.79,10.01,28,6,2024-09-25,2025-04-30,2025-10-22,2028-03-11,2029-05-24,2030-06-26,74.59,2.78,Pending,93.3,1,Pending,941,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00047,Maharashtra,Thane,National Highway,3.14,1.66,7,0,2020-12-03,2022-03-30,2021-04-24,2025-03-05,2026-03-29,2027-02-25,8.0,0.69,Pending,88.9,0,Pending,1418,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00048,Madhya Pradesh,Indore,National Highway,9.22,6.01,13,3,2020-02-03,2022-06-28,2024-01-03,2024-08-23,2024-12-26,2025-08-22,13.62,1.25,Partially paid,100.0,0,Partial possession,1226,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00049,West Bengal,Hooghly,Urban Development,37.26,30.92,68,15,2019-09-13,2020-04-16,2023-01-11,2024-05-25,2025-01-21,2026-04-03,105.22,5.23,Partially paid,100.0,1,Partial possession,1224,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00050,Odisha,Bhubaneswar,Railway,11.26,10.58,22,5,2021-08-30,2023-01-05,2025-06-22,2023-02-08,2023-04-02,2023-10-24,22.37,2.53,Mostly paid,100.0,0,Substantially complete,0,1,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00051,Rajasthan,Kota,National Highway,27.44,15.36,48,13,2019-01-25,2021-03-04,2021-03-27,2023-10-17,2024-03-14,2026-05-14,116.25,4.95,Pending,87.1,3,Pending,1860,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00052,Uttar Pradesh,Varanasi,National Highway,42.02,27.9,74,15,2021-01-12,2021-07-24,2024-09-11,2023-09-27,2024-08-01,2026-09-10,160.83,4.74,Partially paid,91.4,1,Partial possession,889,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00053,Madhya Pradesh,Jabalpur,Renewable Energy,24.99,15.2,46,10,2023-01-04,2024-04-01,2025-11-27,2027-03-02,2027-04-19,2027-07-21,48.55,4.34,Partially paid,100.0,2,Pending,1097,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00054,Maharashtra,Thane,Railway,18.28,18.03,34,5,2024-02-03,2026-05-10,2024-09-03,2026-03-05,2027-05-21,2028-06-03,15.86,4.07,Mostly paid,100.0,0,Substantially complete,807,45,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00055,Odisha,Cuttack,Urban Development,8.58,4.11,15,5,2023-07-25,2023-12-03,2027-02-22,2025-07-06,2025-09-26,2025-11-01,38.55,1.61,Pending,87.5,0,Pending,0,20,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00056,Madhya Pradesh,Jabalpur,National Highway,30.63,13.8,46,6,2024-03-10,2024-12-31,2026-12-25,2026-02-23,2026-09-24,2028-04-08,101.95,0.93,Pending,98.8,4,Pending,456,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00057,Maharashtra,Aurangabad,Urban Development,3.8,3.54,9,3,2020-07-21,2022-05-17,2023-12-21,2025-04-25,2026-11-20,2027-10-30,9.03,0.84,Partially paid,100.0,0,Substantially complete,1771,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00058,Bihar,Patna,Irrigation,15.09,9.45,30,4,2022-07-25,2023-01-23,2025-12-04,2026-05-10,2027-02-07,2027-07-27,28.18,3.29,Pending,100.0,0,Pending,871,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00059,Bihar,Patna,Urban Development,11.85,8.52,23,2,2024-10-08,2026-01-09,2025-09-09,2027-02-21,2027-07-22,2027-09-30,9.67,1.21,Partially paid,94.7,0,Partial possession,180,24,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00060,Tamil Nadu,Madurai,Industrial Corridor,23.59,12.2,48,11,2017-06-29,2019-06-19,2019-07-21,2022-04-14,2023-05-14,2024-01-31,32.31,5.65,Pending,100.0,1,Pending,1522,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00061,Madhya Pradesh,Bhopal,Industrial Corridor,24.21,13.99,56,3,2017-08-21,2018-11-20,2018-05-05,2022-06-23,2023-12-13,2024-09-13,19.89,3.37,Pending,77.2,1,Pending,1691,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00062,Bihar,Muzaffarpur,Urban Development,78.25,65.01,148,31,2021-09-10,2023-05-10,2026-01-24,2026-03-16,2026-11-23,2029-01-17,235.62,9.19,Partially paid,100.0,3,Partial possession,1958,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00063,Maharashtra,Nashik,Industrial Corridor,145.98,99.51,311,52,2021-08-06,2023-05-08,2024-05-09,2024-10-15,2025-08-09,2026-11-01,475.07,11.22,Partially paid,96.0,8,Partial possession,1187,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00064,Tamil Nadu,Coimbatore,Irrigation,9.8,3.69,18,4,2016-09-15,2018-04-03,2019-08-11,2022-09-04,2023-12-20,2025-06-13,35.64,0.53,Pending,98.1,0,Pending,2367,65,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00065,Maharashtra,Pune,Railway,219.83,187.22,385,60,2017-04-20,2018-04-17,2021-02-15,2022-03-23,2022-08-19,2023-12-24,327.96,28.36,Partially paid,100.0,7,Partial possession,1605,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00066,Tamil Nadu,Madurai,Industrial Corridor,13.75,11.56,18,2,2023-11-12,2026-01-10,2026-06-21,2029-10-31,2030-02-04,2032-01-19,15.88,1.44,Mostly paid,100.0,1,Partial possession,2214,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00067,Madhya Pradesh,Jabalpur,Industrial Corridor,35.61,31.78,74,12,2021-03-20,2023-02-24,2024-08-11,2022-10-04,2023-05-15,2024-11-17,114.19,4.2,Mostly paid,96.7,2,Partial possession,609,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00068,Odisha,Bhubaneswar,Urban Development,49.94,32.58,85,16,2024-04-07,2025-07-20,2026-12-18,2025-02-08,2026-04-01,2027-10-02,132.32,6.86,Partially paid,100.0,0,Partial possession,617,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00069,West Bengal,Bardhaman,Irrigation,345.36,213.41,591,117,2018-07-08,2020-04-03,2018-12-14,2020-10-07,2021-04-27,2022-05-27,1395.27,35.15,Pending,94.1,9,Pending,907,63,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00070,Karnataka,Mangaluru,Railway,17.42,10.34,22,2,2021-09-11,2024-02-12,2023-01-24,2023-02-13,2024-07-04,2024-10-29,48.31,2.35,Partially paid,100.0,1,Pending,142,25,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00071,Odisha,Puri,Urban Development,4.97,4.14,6,0,2024-01-25,2024-06-26,2026-08-09,2026-01-03,2026-09-29,2026-11-11,12.16,0.69,Partially paid,96.8,0,Partial possession,325,34,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00072,Gujarat,Vadodara,Urban Development,133.0,86.49,269,45,2017-01-22,2017-12-19,2020-08-17,2020-07-09,2021-06-11,2022-10-21,346.56,21.35,Pending,76.8,9,Partial possession,976,63,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00073,Maharashtra,Aurangabad,Renewable Energy,13.02,8.36,27,2,2021-02-04,2023-01-02,2024-10-21,2022-06-22,2023-09-04,2023-11-14,48.1,2.81,Pending,100.0,0,Pending,0,13,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00074,Gujarat,Surat,Irrigation,20.87,13.4,39,8,2018-03-08,2019-03-21,2019-10-04,2021-05-19,2022-07-22,2022-10-06,18.11,4.11,Partially paid,100.0,1,Pending,1071,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00075,Odisha,Puri,Railway,9.8,5.78,13,4,2022-11-08,2023-08-13,2024-12-01,2027-05-04,2027-11-01,2028-01-02,41.13,1.19,Partially paid,100.0,1,Pending,1212,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00076,Tamil Nadu,Madurai,Irrigation,20.93,10.17,37,3,2020-06-05,2021-04-01,2023-01-05,2024-11-08,2026-03-22,2027-04-07,72.05,1.45,Pending,100.0,1,Pending,1889,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00077,Karnataka,Mysuru,Railway,12.93,12.28,26,6,2024-10-20,2026-01-21,2027-08-09,2028-01-21,2029-04-15,2030-10-28,52.7,0.92,Partially paid,93.6,3,Substantially complete,1324,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00078,Karnataka,Bengaluru Urban,Irrigation,58.94,47.38,82,14,2021-04-09,2022-11-29,2025-01-06,2027-11-03,2029-05-02,2030-11-25,256.42,9.18,Partially paid,100.0,0,Partial possession,2892,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00079,Uttar Pradesh,Prayagraj,Urban Development,32.49,27.34,56,7,2020-12-20,2022-12-26,2022-12-27,2022-03-23,2023-07-31,2025-02-09,53.16,2.6,Mostly paid,93.0,4,Partial possession,628,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00080,Karnataka,Bengaluru Urban,Urban Development,15.16,10.31,23,2,2020-06-15,2022-06-27,2022-07-03,2026-05-29,2026-12-09,2027-11-15,44.57,1.03,Pending,100.0,1,Partial possession,2062,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00081,West Bengal,Kolkata,National Highway,81.12,69.88,126,29,2022-03-21,2023-11-24,2023-01-27,2026-04-18,2026-07-12,2028-08-02,210.78,4.61,Mostly paid,100.0,3,Partial possession,1144,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00082,Karnataka,Mysuru,Industrial Corridor,38.67,32.85,75,9,2016-08-04,2017-05-07,2020-12-03,2017-10-07,2019-01-05,2019-10-12,107.86,5.46,Partially paid,93.8,5,Partial possession,664,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00083,Odisha,Bhubaneswar,Renewable Energy,4.73,2.52,14,4,2022-01-12,2023-06-06,2025-01-05,2022-12-27,2023-05-29,2025-06-09,4.61,1.23,Pending,100.0,2,Pending,193,34,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00084,Uttar Pradesh,Prayagraj,Irrigation,75.17,35.0,125,23,2018-02-27,2018-07-04,2020-08-18,2021-03-12,2021-07-06,2023-07-19,314.34,10.95,Pending,95.5,6,Pending,1462,66,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00085,Odisha,Cuttack,Renewable Energy,36.05,14.21,56,5,2020-03-23,2021-03-16,2020-11-05,2023-06-13,2024-10-07,2025-04-15,156.18,2.58,Pending,100.0,3,Pending,1187,66,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00086,Odisha,Cuttack,National Highway,120.39,82.19,207,46,2021-09-14,2023-05-29,2024-07-31,2023-12-27,2024-10-19,2024-12-16,401.5,6.1,Partially paid,100.0,3,Partial possession,254,32,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00087,Rajasthan,Jodhpur,Industrial Corridor,33.92,26.57,69,14,2023-05-07,2024-08-03,2024-03-18,2029-01-28,2029-03-12,2029-10-31,59.55,3.52,Partially paid,98.1,0,Partial possession,1436,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00088,Uttar Pradesh,Lucknow,Irrigation,13.58,6.06,19,5,2021-08-18,2023-04-16,2023-11-06,2023-11-17,2023-12-19,2024-05-07,50.42,1.34,Pending,100.0,0,Pending,169,34,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00089,Odisha,Bhubaneswar,Railway,24.43,20.01,26,5,2018-11-29,2020-02-25,2019-03-28,2025-06-15,2026-11-19,2027-12-17,85.61,2.11,Mostly paid,77.8,3,Partial possession,2649,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00090,Rajasthan,Ajmer,Industrial Corridor,66.95,40.2,115,22,2025-09-10,2025-10-14,2028-12-06,2028-10-31,2028-12-04,2029-11-02,195.89,5.41,Partially paid,88.9,3,Pending,901,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00091,Rajasthan,Ajmer,Urban Development,13.86,11.23,21,4,2022-02-04,2023-06-07,2024-03-19,2025-08-20,2026-07-26,2027-06-10,19.82,0.8,Partially paid,93.5,0,Partial possession,1341,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00092,Uttar Pradesh,Varanasi,National Highway,19.29,17.03,30,5,2020-07-22,2022-10-25,2022-10-13,2021-04-01,2022-04-06,2022-11-06,29.79,3.12,Partially paid,100.0,0,Partial possession,0,5,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00093,Gujarat,Ahmedabad,Industrial Corridor,24.01,15.89,43,8,2024-03-25,2026-07-08,2026-07-11,2027-02-01,2028-04-23,2028-07-31,71.57,4.55,Pending,100.0,1,Partial possession,1017,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00094,Tamil Nadu,Coimbatore,Industrial Corridor,9.49,6.67,16,2,2022-12-23,2024-09-05,2026-05-28,2028-08-18,2029-10-05,2029-11-29,12.12,0.77,Partially paid,100.0,0,Partial possession,1841,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00095,West Bengal,Bardhaman,Urban Development,14.06,12.63,24,4,2017-01-07,2018-06-18,2018-10-25,2018-05-20,2018-06-21,2020-06-27,48.91,1.82,Mostly paid,100.0,0,Partial possession,293,28,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00096,Tamil Nadu,Chennai,Irrigation,35.61,25.26,67,10,2024-08-05,2024-11-29,2025-05-28,2026-05-11,2027-11-26,2029-06-13,56.5,4.29,Partially paid,100.0,1,Partial possession,1001,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00097,Karnataka,Mangaluru,Railway,99.73,82.64,171,30,2018-08-27,2019-11-01,2021-06-27,2019-06-20,2020-07-14,2021-07-26,415.75,5.85,Partially paid,99.4,2,Partial possession,471,46,0,Synthetic prototype; fields modeled on public government land-acquisition systems
