Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Compensation_Amount_Crore,RR_Amount_Crore,R&R_Progress_Percent,Legal_Disputes_Count,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Land_Acquisition_Ratio,Displacement_Ratio,Total_Compensation_Crore,Sanction_Date_Year,Sanction_Date_Month,3A_Notification_Date_Year,3A_Notification_Date_Month,3D_Notification_Date_Year,3D_Notification_Date_Month,Award_Date_Year,Award_Date_Month,Payment_Date_Year,Payment_Date_Month,Possession_Date_Year,Possession_Date_Month,State_Gujarat,State_Karnataka,State_Madhya Pradesh,State_Maharashtra,State_Odisha,State_Rajasthan,State_Tamil Nadu,State_Uttar Pradesh,State_West Bengal,District_Ahmedabad,District_Ajmer,District_Alwar,District_Aurangabad,District_Bardhaman,District_Bengaluru Urban,District_Bhagalpur,District_Bhopal,District_Bhubaneswar,District_Chennai,District_Coimbatore,District_Cuttack,District_Gaya,District_Gorakhpur,District_Gwalior,District_Hooghly,District_Howrah,District_Indore,District_Jabalpur,District_Jaipur,District_Jodhpur,District_Kanpur Nagar,District_Kolkata,District_Kota,District_Lucknow,District_Madurai,District_Mangaluru,District_Muzaffarpur,District_Mysuru,District_Nagpur,District_Nashik,District_Patna,District_Prayagraj,District_Pune,District_Puri,District_Rajkot,District_Salem,District_Sambalpur,District_Surat,District_Thane,District_Ujjain,District_Vadodara,District_Varanasi,Project_Type_Irrigation,Project_Type_National Highway,Project_Type_Railway,Project_Type_Renewable Energy,Project_Type_Urban Development,Compensation_Status_Partially paid,Compensation_Status_Pending,Possession_Status_Pending,Possession_Status_Substantially complete
32.63,21.86,45,8,109.57,4.0,99.1,0,1576,57,0,0.6699356420471958,0.17777777777777778,113.57,2018,8,2020,6,2022,1,2023,7,2024,12,2025,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
97.56,49.35,155,25,378.78,9.87,100.0,5,1937,64,1,0.5058425584255842,0.16129032258064516,388.65,2019,10,2021,5,2020,6,2026,3,2027,8,2028,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
292.48,166.14,510,105,1070.65,40.59,85.8,11,1832,65,1,0.568038840262582,0.20588235294117646,1111.24,2025,9,2027,10,2027,2,2030,12,2031,3,2033,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
57.82,50.38,118,26,114.71,13.79,100.0,4,527,49,0,0.8713248011068835,0.22033898305084745,128.5,2022,6,2023,3,2026,1,2024,5,2025,8,2025,9,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.41,5.63,12,3,24.57,0.56,84.4,0,1436,58,0,0.6694411414982164,0.25,25.13,2016,12,2018,1,2017,7,2019,3,2020,9,2022,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
215.05,160.52,404,64,382.78,27.4,100.0,18,1706,61,1,0.7464310625435945,0.15841584158415842,410.17999999999995,2016,4,2016,6,2019,10,2019,11,2020,11,2022,12,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29.39,17.69,54,11,86.18,4.82,74.4,0,1088,61,1,0.6019054100034026,0.2037037037037037,91.0,2023,7,2024,8,2024,9,2027,11,2028,1,2029,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
12.97,8.51,24,1,30.82,0.5,74.1,3,1167,62,1,0.6561295296838858,0.041666666666666664,31.32,2019,8,2021,4,2022,11,2024,2,2025,3,2025,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
10.18,6.95,15,1,22.19,0.87,100.0,0,2002,56,0,0.6827111984282908,0.06666666666666667,23.060000000000002,2020,2,2020,11,2023,8,2026,9,2027,5,2028,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
69.15,58.97,131,25,102.29,10.06,84.7,3,1336,52,0,0.8527838033261026,0.19083969465648856,112.35000000000001,2020,8,2021,3,2024,7,2024,10,2025,7,2025,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38.05,34.32,68,13,109.53,7.49,100.0,3,446,41,0,0.9019710906701709,0.19117647058823528,117.02,2019,11,2020,4,2023,11,2021,4,2022,11,2024,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42.31,29.01,75,16,148.02,8.94,86.3,3,0,13,0,0.6856535098085559,0.21333333333333335,156.96,2020,6,2021,5,2024,3,2022,2,2022,11,2023,5,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
108.47,84.98,201,34,316.05,15.2,99.6,5,786,53,0,0.7834424264773671,0.1691542288557214,331.25,2022,10,2023,3,2026,1,2024,9,2026,4,2027,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
13.43,9.26,25,1,14.18,2.86,100.0,0,1993,55,0,0.6895011169024572,0.04,17.04,2019,1,2020,2,2022,7,2025,6,2026,5,2027,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
117.47,47.51,224,42,495.72,6.7,100.0,6,2049,69,1,0.40444368775006384,0.1875,502.42,2018,4,2018,11,2020,4,2024,9,2026,1,2026,12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
17.83,12.25,32,5,14.63,2.88,100.0,1,1458,56,0,0.6870443073471678,0.15625,17.51,2019,11,2021,1,2023,10,2023,7,2025,2,2026,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
260.87,194.32,418,75,1062.97,25.1,93.2,7,1241,56,0,0.7448920918465135,0.17942583732057416,1088.07,2020,5,2022,2,2020,10,2024,3,2024,8,2025,12,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
54.53,32.65,95,18,198.19,9.03,82.5,3,0,19,0,0.5987529800110031,0.18947368421052632,207.22,2025,5,2027,6,2028,3,2026,2,2027,1,2027,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
11.94,6.65,31,10,13.82,3.31,99.6,0,1986,59,0,0.5569514237855947,0.3225806451612903,17.13,2024,5,2026,4,2026,12,2029,5,2030,11,2032,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
3.95,3.45,9,2,6.62,0.23,88.0,0,1754,50,0,0.8734177215189873,0.2222222222222222,6.8500000000000005,2018,6,2019,8,2021,11,2023,4,2023,8,2024,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
67.28,38.36,139,25,140.69,15.78,100.0,5,465,56,0,0.570154577883472,0.17985611510791366,156.47,2024,1,2025,7,2026,6,2025,8,2026,1,2026,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
20.61,11.14,47,7,85.9,1.26,100.0,2,0,17,0,0.5405143134400777,0.14893617021276595,87.16000000000001,2023,9,2023,12,2024,10,2024,9,2025,1,2025,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
25.65,22.25,40,6,113.52,3.81,86.9,1,1869,51,0,0.8674463937621832,0.15,117.33,2017,5,2018,9,2021,1,2022,3,2022,7,2024,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
64.47,46.82,114,13,72.37,3.07,100.0,2,819,56,0,0.7262292539165504,0.11403508771929824,75.44,2024,7,2024,12,2027,4,2027,3,2027,11,2029,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
82.3,61.01,174,33,186.71,18.47,97.8,4,1780,56,0,0.7413122721749696,0.1896551724137931,205.18,2023,10,2025,6,2024,9,2029,2,2030,2,2031,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
101.87,90.47,181,35,137.76,7.33,100.0,4,2073,49,0,0.8880926671247668,0.19337016574585636,145.09,2020,3,2020,6,2023,4,2025,10,2027,1,2027,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9.25,6.88,16,4,16.93,1.01,83.2,1,0,9,0,0.7437837837837837,0.25,17.94,2022,9,2024,4,2023,7,2023,8,2023,10,2025,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
124.7,106.82,238,42,552.42,26.96,100.0,8,1691,52,0,0.8566158781074579,0.17647058823529413,579.38,2021,5,2023,8,2023,7,2025,2,2026,7,2028,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.79,10.01,28,6,74.59,2.78,93.3,1,941,61,1,0.5961882072662299,0.21428571428571427,77.37,2024,9,2025,4,2025,10,2028,3,2029,5,2030,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
3.14,1.66,7,0,8.0,0.69,88.9,0,1418,62,1,0.5286624203821656,0.0,8.69,2020,12,2022,3,2021,4,2025,3,2026,3,2027,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
9.22,6.01,13,3,13.62,1.25,100.0,0,1226,57,0,0.6518438177874186,0.23076923076923078,14.87,2020,2,2022,6,2024,1,2024,8,2024,12,2025,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
37.26,30.92,68,15,105.22,5.23,100.0,1,1224,51,0,0.829844337090714,0.22058823529411764,110.45,2019,9,2020,4,2023,1,2024,5,2025,1,2026,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
11.26,10.58,22,5,22.37,2.53,100.0,0,0,1,0,0.9396092362344582,0.22727272727272727,24.900000000000002,2021,8,2023,1,2025,6,2023,2,2023,4,2023,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
27.44,15.36,48,13,116.25,4.95,87.1,3,1860,62,1,0.5597667638483964,0.2708333333333333,121.2,2019,1,2021,3,2021,3,2023,10,2024,3,2026,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
42.02,27.9,74,15,160.83,4.74,91.4,1,889,58,0,0.663969538315088,0.20270270270270271,165.57000000000002,2021,1,2021,7,2024,9,2023,9,2024,8,2026,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
24.99,15.2,46,10,48.55,4.34,100.0,2,1097,58,0,0.6082432973189276,0.21739130434782608,52.89,2023,1,2024,4,2025,11,2027,3,2027,4,2027,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
18.28,18.03,34,5,15.86,4.07,100.0,0,807,45,0,0.9863238512035011,0.14705882352941177,19.93,2024,2,2026,5,2024,9,2026,3,2027,5,2028,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
8.58,4.11,15,5,38.55,1.61,87.5,0,0,20,0,0.47902097902097907,0.3333333333333333,40.16,2023,7,2023,12,2027,2,2025,7,2025,9,2025,11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
30.63,13.8,46,6,101.95,0.93,98.8,4,456,58,0,0.4505386875612145,0.13043478260869565,102.88000000000001,2024,3,2024,12,2026,12,2026,2,2026,9,2028,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
3.8,3.54,9,3,9.03,0.84,100.0,0,1771,48,0,0.9315789473684211,0.3333333333333333,9.87,2020,7,2022,5,2023,12,2025,4,2026,11,2027,10,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
15.09,9.45,30,4,28.18,3.29,100.0,0,871,58,0,0.6262425447316103,0.13333333333333333,31.47,2022,7,2023,1,2025,12,2026,5,2027,2,2027,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
11.85,8.52,23,2,9.67,1.21,94.7,0,180,24,0,0.7189873417721518,0.08695652173913043,10.879999999999999,2024,10,2026,1,2025,9,2027,2,2027,7,2027,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
