Project_ID,State,District,Project_Type,Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Sanction_Date,3A_Notification_Date,3D_Notification_Date,Award_Date,Payment_Date,Possession_Date,Compensation_Amount_Crore,RR_Amount_Crore,Compensation_Status,R&R_Progress_Percent,Legal_Disputes_Count,Possession_Status,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Data_Basis,date_issue
BHNV-00025,Karnataka,Bengaluru Urban,Renewable Energy,12.97,8.51,24,1,2019-08-16,2021-04-06,2022-11-19,2024-02-27,2025-03-28,2025-10-12,30.82,0.5,Pending,74.1,3,Partial possession,1167,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00026,Uttar Pradesh,Prayagraj,National Highway,10.18,6.95,15,1,2020-02-26,2020-11-17,2023-08-10,2026-09-15,2027-05-06,2028-07-02,22.19,0.87,Partially paid,100.0,0,Partial possession,2002,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00027,Tamil Nadu,Chennai,Railway,69.15,58.97,131,25,2020-08-04,2021-03-02,2024-07-05,2024-10-19,2025-07-06,2025-10-19,102.29,10.06,Mostly paid,84.7,3,Partial possession,1336,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00031,Karnataka,Bengaluru Urban,Irrigation,13.43,9.26,25,1,2019-01-30,2020-02-11,2022-07-27,2025-06-01,2026-05-27,2027-06-28,14.18,2.86,Partially paid,100.0,0,Partial possession,1993,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00032,Rajasthan,Ajmer,Urban Development,117.47,47.51,224,42,2018-04-20,2018-11-15,2020-04-08,2024-09-11,2026-01-10,2026-12-12,495.72,6.7,Pending,100.0,6,Pending,2049,69,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00036,Gujarat,Vadodara,National Highway,11.94,6.65,31,10,2024-05-29,2026-04-12,2026-12-29,2029-05-23,2030-11-16,2032-10-14,13.82,3.31,Partially paid,99.6,0,Pending,1986,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00037,Karnataka,Mysuru,Railway,3.95,3.45,9,2,2018-06-16,2019-08-04,2021-11-16,2023-04-07,2023-08-20,2024-11-02,6.62,0.23,Mostly paid,88.0,0,Partial possession,1754,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00040,Madhya Pradesh,Ujjain,Railway,25.65,22.25,40,6,2017-05-06,2018-09-27,2021-01-28,2022-03-04,2022-07-26,2024-02-22,113.52,3.81,Partially paid,86.9,1,Partial possession,1869,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00043,Tamil Nadu,Coimbatore,Irrigation,101.87,90.47,181,35,2020-03-12,2020-06-10,2023-04-16,2025-10-17,2027-01-04,2027-08-29,137.76,7.33,Mostly paid,100.0,4,Partial possession,2073,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00046,Gujarat,Surat,Industrial Corridor,16.79,10.01,28,6,2024-09-25,2025-04-30,2025-10-22,2028-03-11,2029-05-24,2030-06-26,74.59,2.78,Pending,93.3,1,Pending,941,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00048,Madhya Pradesh,Indore,National Highway,9.22,6.01,13,3,2020-02-03,2022-06-28,2024-01-03,2024-08-23,2024-12-26,2025-08-22,13.62,1.25,Partially paid,100.0,0,Partial possession,1226,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00049,West Bengal,Hooghly,Urban Development,37.26,30.92,68,15,2019-09-13,2020-04-16,2023-01-11,2024-05-25,2025-01-21,2026-04-03,105.22,5.23,Partially paid,100.0,1,Partial possession,1224,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00051,Rajasthan,Kota,National Highway,27.44,15.36,48,13,2019-01-25,2021-03-04,2021-03-27,2023-10-17,2024-03-14,2026-05-14,116.25,4.95,Pending,87.1,3,Pending,1860,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00053,Madhya Pradesh,Jabalpur,Renewable Energy,24.99,15.2,46,10,2023-01-04,2024-04-01,2025-11-27,2027-03-02,2027-04-19,2027-07-21,48.55,4.34,Partially paid,100.0,2,Pending,1097,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00057,Maharashtra,Aurangabad,Urban Development,3.8,3.54,9,3,2020-07-21,2022-05-17,2023-12-21,2025-04-25,2026-11-20,2027-10-30,9.03,0.84,Partially paid,100.0,0,Substantially complete,1771,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00058,Bihar,Patna,Irrigation,15.09,9.45,30,4,2022-07-25,2023-01-23,2025-12-04,2026-05-10,2027-02-07,2027-07-27,28.18,3.29,Pending,100.0,0,Pending,871,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00060,Tamil Nadu,Madurai,Industrial Corridor,23.59,12.2,48,11,2017-06-29,2019-06-19,2019-07-21,2022-04-14,2023-05-14,2024-01-31,32.31,5.65,Pending,100.0,1,Pending,1522,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00062,Bihar,Muzaffarpur,Urban Development,78.25,65.01,148,31,2021-09-10,2023-05-10,2026-01-24,2026-03-16,2026-11-23,2029-01-17,235.62,9.19,Partially paid,100.0,3,Partial possession,1958,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00063,Maharashtra,Nashik,Industrial Corridor,145.98,99.51,311,52,2021-08-06,2023-05-08,2024-05-09,2024-10-15,2025-08-09,2026-11-01,475.07,11.22,Partially paid,96.0,8,Partial possession,1187,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00064,Tamil Nadu,Coimbatore,Irrigation,9.8,3.69,18,4,2016-09-15,2018-04-03,2019-08-11,2022-09-04,2023-12-20,2025-06-13,35.64,0.53,Pending,98.1,0,Pending,2367,65,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00065,Maharashtra,Pune,Railway,219.83,187.22,385,60,2017-04-20,2018-04-17,2021-02-15,2022-03-23,2022-08-19,2023-12-24,327.96,28.36,Partially paid,100.0,7,Partial possession,1605,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00066,Tamil Nadu,Madurai,Industrial Corridor,13.75,11.56,18,2,2023-11-12,2026-01-10,2026-06-21,2029-10-31,2030-02-04,2032-01-19,15.88,1.44,Mostly paid,100.0,1,Partial possession,2214,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00074,Gujarat,Surat,Irrigation,20.87,13.4,39,8,2018-03-08,2019-03-21,2019-10-04,2021-05-19,2022-07-22,2022-10-06,18.11,4.11,Partially paid,100.0,1,Pending,1071,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00075,Odisha,Puri,Railway,9.8,5.78,13,4,2022-11-08,2023-08-13,2024-12-01,2027-05-04,2027-11-01,2028-01-02,41.13,1.19,Partially paid,100.0,1,Pending,1212,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00076,Tamil Nadu,Madurai,Irrigation,20.93,10.17,37,3,2020-06-05,2021-04-01,2023-01-05,2024-11-08,2026-03-22,2027-04-07,72.05,1.45,Pending,100.0,1,Pending,1889,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00077,Karnataka,Mysuru,Railway,12.93,12.28,26,6,2024-10-20,2026-01-21,2027-08-09,2028-01-21,2029-04-15,2030-10-28,52.7,0.92,Partially paid,93.6,3,Substantially complete,1324,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00078,Karnataka,Bengaluru Urban,Irrigation,58.94,47.38,82,14,2021-04-09,2022-11-29,2025-01-06,2027-11-03,2029-05-02,2030-11-25,256.42,9.18,Partially paid,100.0,0,Partial possession,2892,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00080,Karnataka,Bengaluru Urban,Urban Development,15.16,10.31,23,2,2020-06-15,2022-06-27,2022-07-03,2026-05-29,2026-12-09,2027-11-15,44.57,1.03,Pending,100.0,1,Partial possession,2062,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00084,Uttar Pradesh,Prayagraj,Irrigation,75.17,35.0,125,23,2018-02-27,2018-07-04,2020-08-18,2021-03-12,2021-07-06,2023-07-19,314.34,10.95,Pending,95.5,6,Pending,1462,66,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00088,Uttar Pradesh,Lucknow,Irrigation,13.58,6.06,19,5,2021-08-18,2023-04-16,2023-11-06,2023-11-17,2023-12-19,2024-05-07,50.42,1.34,Pending,100.0,0,Pending,169,34,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00091,Rajasthan,Ajmer,Urban Development,13.86,11.23,21,4,2022-02-04,2023-06-07,2024-03-19,2025-08-20,2026-07-26,2027-06-10,19.82,0.8,Partially paid,93.5,0,Partial possession,1341,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00093,Gujarat,Ahmedabad,Industrial Corridor,24.01,15.89,43,8,2024-03-25,2026-07-08,2026-07-11,2027-02-01,2028-04-23,2028-07-31,71.57,4.55,Pending,100.0,1,Partial possession,1017,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00094,Tamil Nadu,Coimbatore,Industrial Corridor,9.49,6.67,16,2,2022-12-23,2024-09-05,2026-05-28,2028-08-18,2029-10-05,2029-11-29,12.12,0.77,Partially paid,100.0,0,Partial possession,1841,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00096,Tamil Nadu,Chennai,Irrigation,35.61,25.26,67,10,2024-08-05,2024-11-29,2025-05-28,2026-05-11,2027-11-26,2029-06-13,56.5,4.29,Partially paid,100.0,1,Partial possession,1001,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00098,West Bengal,Hooghly,Urban Development,41.15,28.93,71,16,2020-08-16,2021-07-04,2022-10-02,2026-12-08,2027-11-27,2028-09-05,169.91,8.1,Partially paid,90.6,3,Partial possession,1761,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00101,Maharashtra,Pune,Industrial Corridor,89.58,51.32,159,24,2016-12-29,2019-03-02,2019-04-15,2021-02-14,2021-06-12,2021-12-24,274.32,8.67,Pending,100.0,3,Pending,1102,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00102,Uttar Pradesh,Agra,Railway,46.22,43.79,76,13,2021-03-28,2021-07-18,2023-09-05,2027-05-14,2028-01-04,2028-09-05,113.66,8.03,Mostly paid,96.4,1,Substantially complete,2214,47,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00104,West Bengal,Howrah,National Highway,73.6,42.1,121,17,2021-05-05,2023-09-26,2025-05-14,2026-08-10,2026-10-27,2028-06-20,203.61,9.44,Pending,95.1,4,Pending,2050,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00106,Gujarat,Ahmedabad,Irrigation,13.28,7.24,22,4,2020-03-19,2020-08-30,2023-08-01,2026-03-17,2026-12-05,2027-08-10,14.01,1.19,Pending,90.4,0,Pending,1613,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00107,Rajasthan,Jaipur,Urban Development,27.08,14.6,50,7,2018-02-12,2018-06-11,2020-07-11,2020-12-23,2021-05-17,2022-08-03,48.11,5.7,Partially paid,100.0,1,Pending,637,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00110,Rajasthan,Ajmer,Urban Development,51.0,39.23,88,9,2018-08-19,2019-09-30,2020-01-22,2022-01-22,2022-05-05,2023-03-09,44.34,9.9,Partially paid,74.2,0,Partial possession,1084,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00111,Uttar Pradesh,Gorakhpur,Renewable Energy,36.12,30.73,66,13,2022-08-14,2024-04-05,2026-04-05,2028-12-05,2030-02-22,2031-02-19,126.82,7.56,Partially paid,100.0,4,Partial possession,1913,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00113,Gujarat,Rajkot,National Highway,119.0,111.62,184,29,2021-02-20,2022-05-10,2022-08-05,2024-05-28,2024-10-16,2025-10-26,460.95,14.29,Mostly paid,91.2,7,Substantially complete,1119,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00114,Rajasthan,Jodhpur,Urban Development,27.57,19.2,46,9,2019-11-11,2020-07-24,2022-09-01,2024-04-15,2024-08-31,2025-09-07,92.66,5.07,Pending,94.0,0,Partial possession,1282,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00116,Gujarat,Surat,Irrigation,69.71,50.67,139,32,2017-07-24,2017-10-29,2018-09-23,2023-12-03,2025-05-18,2026-11-02,267.68,14.76,Partially paid,100.0,3,Partial possession,2679,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00117,Tamil Nadu,Coimbatore,Renewable Energy,25.15,24.19,48,9,2018-11-27,2019-12-23,2021-09-25,2021-11-29,2022-02-02,2023-03-06,88.33,2.74,Partially paid,88.1,1,Substantially complete,803,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00118,West Bengal,Howrah,Renewable Energy,10.28,7.51,18,2,2020-04-17,2021-01-31,2021-11-16,2025-08-29,2026-10-15,2028-07-07,37.1,1.85,Partially paid,100.0,1,Partial possession,2463,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00120,Karnataka,Mysuru,National Highway,138.28,107.63,245,47,2025-07-02,2025-10-02,2027-08-06,2031-06-07,2032-11-16,2034-12-06,427.54,16.83,Partially paid,100.0,7,Partial possession,2641,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00123,Rajasthan,Ajmer,Urban Development,23.7,22.2,43,8,2021-11-17,2023-08-31,2025-03-31,2025-12-18,2027-02-24,2027-09-07,65.15,3.51,Mostly paid,100.0,1,Substantially complete,1087,47,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00124,West Bengal,Hooghly,Urban Development,67.18,50.55,101,15,2025-07-01,2027-07-03,2028-02-13,2031-05-24,2031-12-18,2033-08-10,258.78,2.79,Partially paid,100.0,3,Partial possession,2218,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00126,Madhya Pradesh,Bhopal,Industrial Corridor,7.03,5.74,17,1,2021-01-10,2021-10-12,2023-01-21,2023-03-26,2024-02-02,2024-08-23,9.01,0.48,Partially paid,87.0,0,Partial possession,518,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00127,Madhya Pradesh,Indore,Industrial Corridor,41.51,25.64,71,14,2023-11-03,2024-09-05,2026-05-01,2028-02-16,2029-01-24,2029-08-09,139.02,8.34,Partially paid,88.4,3,Pending,1072,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00128,Gujarat,Vadodara,Renewable Energy,100.32,95.48,170,38,2021-05-17,2022-05-28,2024-07-26,2027-04-14,2028-08-16,2030-01-04,101.93,4.07,Mostly paid,96.9,6,Substantially complete,2544,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00129,West Bengal,Hooghly,Irrigation,93.83,71.68,173,32,2021-12-05,2023-01-10,2023-10-10,2025-05-22,2027-01-10,2028-08-26,159.77,8.13,Partially paid,79.4,5,Partial possession,1827,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00130,West Bengal,Kolkata,Irrigation,17.13,15.37,29,7,2022-10-04,2025-01-19,2026-01-12,2027-12-16,2028-04-25,2028-10-26,71.3,2.47,Mostly paid,100.0,1,Partial possession,1353,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00133,Rajasthan,Jodhpur,Industrial Corridor,103.66,54.79,184,37,2019-06-04,2019-08-29,2022-07-06,2023-01-16,2024-07-02,2025-04-26,445.6,21.65,Partially paid,100.0,5,Pending,1123,60,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00134,Bihar,Gaya,Irrigation,53.18,49.92,88,10,2025-10-12,2026-04-19,2028-04-01,2029-12-29,2030-02-02,2031-10-28,46.48,4.73,Mostly paid,90.8,1,Substantially complete,1147,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00137,Karnataka,Mangaluru,Urban Development,31.56,29.38,62,9,2024-02-25,2025-11-22,2026-01-19,2026-12-01,2027-06-06,2027-09-06,131.39,5.47,Partially paid,100.0,1,Substantially complete,737,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00144,West Bengal,Hooghly,Industrial Corridor,52.16,47.84,92,8,2018-02-14,2019-08-25,2020-09-02,2020-12-25,2021-10-25,2021-12-12,158.54,9.46,Mostly paid,100.0,4,Substantially complete,830,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00145,Uttar Pradesh,Kanpur Nagar,Industrial Corridor,6.4,4.45,9,0,2017-11-01,2018-04-19,2020-06-30,2021-03-15,2022-10-07,2024-02-14,22.41,0.36,Partially paid,91.2,0,Partial possession,1142,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00151,Rajasthan,Jodhpur,Irrigation,17.86,6.53,25,4,2019-10-28,2021-05-08,2021-07-12,2024-01-07,2025-02-08,2026-10-24,42.14,1.68,Pending,97.7,1,Pending,1952,66,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00153,Bihar,Gaya,Urban Development,17.49,16.01,38,12,2025-01-19,2026-07-13,2027-01-05,2029-02-01,2029-08-01,2030-04-24,54.79,3.82,Mostly paid,100.0,1,Substantially complete,1034,47,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00154,Odisha,Bhubaneswar,Renewable Energy,26.16,18.75,51,12,2022-04-21,2023-11-09,2024-07-17,2026-04-04,2026-05-06,2027-05-19,100.05,2.85,Partially paid,81.4,0,Partial possession,657,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00158,Rajasthan,Ajmer,Railway,21.36,18.42,32,3,2019-10-29,2020-08-18,2023-05-03,2023-07-17,2024-06-15,2025-07-19,72.75,2.35,Partially paid,98.8,1,Partial possession,960,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00161,Bihar,Patna,Railway,14.47,3.5,24,3,2016-07-27,2017-04-15,2017-12-19,2018-08-12,2019-06-18,2020-04-06,22.38,1.54,Pending,100.0,0,Pending,606,72,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00163,Karnataka,Mysuru,National Highway,34.01,25.33,57,6,2017-10-17,2018-09-19,2019-09-23,2023-12-01,2024-07-11,2025-07-06,126.61,2.02,Partially paid,100.0,2,Partial possession,2026,54,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00165,Uttar Pradesh,Prayagraj,Industrial Corridor,82.55,71.63,160,18,2017-07-07,2018-04-23,2021-02-25,2022-03-10,2023-01-18,2023-11-30,264.82,16.03,Partially paid,89.4,6,Partial possession,1798,53,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00166,Uttar Pradesh,Kanpur Nagar,Railway,35.77,26.13,63,17,2023-08-15,2025-01-01,2027-01-04,2028-05-05,2029-05-05,2031-06-22,132.29,2.99,Partially paid,100.0,1,Partial possession,2157,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00168,Madhya Pradesh,Bhopal,National Highway,32.1,28.75,49,6,2020-05-06,2020-09-18,2022-04-04,2024-08-28,2025-06-01,2026-02-17,91.08,3.74,Mostly paid,89.8,1,Partial possession,1323,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00169,West Bengal,Hooghly,National Highway,245.59,140.51,431,84,2017-02-24,2017-11-27,2019-09-05,2021-12-13,2022-04-30,2024-02-19,995.76,10.07,Pending,81.1,16,Pending,1433,68,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00170,Maharashtra,Pune,Irrigation,54.4,29.53,96,20,2022-06-13,2023-05-12,2023-09-05,2028-07-14,2029-03-23,2030-08-07,142.77,10.42,Partially paid,88.4,4,Pending,2126,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00171,Rajasthan,Alwar,Irrigation,18.39,9.86,25,2,2021-12-24,2022-12-31,2025-04-28,2027-10-11,2029-04-19,2031-05-29,38.59,2.2,Partially paid,100.0,0,Pending,2822,59,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00172,Uttar Pradesh,Agra,National Highway,68.1,66.72,138,29,2019-12-13,2021-04-02,2022-10-20,2025-08-11,2025-11-23,2026-08-03,255.3,6.3,Partially paid,94.3,4,Substantially complete,1831,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00173,Gujarat,Vadodara,Industrial Corridor,5.83,5.63,13,5,2022-02-20,2022-04-28,2022-06-18,2027-01-26,2027-06-28,2028-12-22,5.75,0.87,Mostly paid,98.7,0,Substantially complete,1570,47,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00176,Uttar Pradesh,Prayagraj,Renewable Energy,34.16,25.53,58,9,2021-04-10,2021-06-24,2022-12-28,2025-11-11,2026-02-26,2027-02-27,106.91,6.23,Partially paid,94.6,1,Partial possession,1012,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00179,Maharashtra,Aurangabad,National Highway,13.61,13.01,24,5,2019-06-09,2020-02-13,2020-05-04,2025-08-02,2025-09-23,2026-04-11,52.32,1.91,Partially paid,90.5,0,Substantially complete,1996,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00180,Bihar,Bhagalpur,Industrial Corridor,33.18,28.99,61,11,2025-04-26,2026-02-05,2027-04-20,2029-08-21,2030-12-05,2032-08-05,96.78,4.25,Mostly paid,81.5,1,Partial possession,2129,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00181,West Bengal,Bardhaman,Irrigation,9.84,8.6,25,4,2023-04-07,2023-09-20,2026-04-21,2028-10-14,2030-04-15,2031-11-17,19.81,1.23,Mostly paid,100.0,0,Partial possession,2392,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00182,Gujarat,Rajkot,National Highway,175.94,153.6,291,46,2024-05-19,2025-02-03,2027-02-01,2030-12-12,2032-03-08,2033-05-21,694.53,34.23,Mostly paid,89.9,5,Partial possession,2745,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00186,Maharashtra,Nashik,Renewable Energy,49.77,44.94,94,13,2019-05-11,2019-07-17,2023-06-07,2025-03-11,2026-04-09,2026-09-12,63.81,4.55,Partially paid,100.0,0,Substantially complete,2060,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00187,Gujarat,Ahmedabad,National Highway,11.99,10.04,20,3,2024-05-16,2024-11-16,2027-01-17,2030-11-18,2030-12-26,2032-04-19,42.85,1.61,Mostly paid,74.7,0,Partial possession,2121,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00188,Tamil Nadu,Salem,Railway,93.16,79.69,181,29,2021-05-25,2022-11-08,2024-10-10,2025-03-19,2026-08-26,2027-02-05,335.69,18.02,Partially paid,97.7,2,Partial possession,1271,51,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00189,Bihar,Muzaffarpur,Urban Development,7.43,6.92,13,3,2016-12-08,2017-04-21,2017-10-26,2018-08-05,2019-06-22,2020-09-25,29.99,1.47,Mostly paid,94.6,0,Substantially complete,470,41,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00190,West Bengal,Hooghly,Renewable Energy,17.01,10.62,31,4,2017-08-15,2018-05-26,2021-10-02,2023-06-30,2024-07-06,2025-01-10,39.29,2.78,Pending,100.0,0,Pending,1877,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00191,Madhya Pradesh,Ujjain,National Highway,55.74,37.69,79,19,2019-05-13,2020-07-19,2022-02-07,2022-10-20,2023-11-08,2024-09-28,223.95,4.89,Partially paid,100.0,1,Partial possession,1363,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
